COD_ETB;LIB_OFF_ETB;LIB_AD1_ETB;COD_POS_ADR_ETB;LIB_COM
0920164D;Lycée Professionnel Jean Monnet;128 Avenue Jean Jaures;92120;Montrouge
0540086A;Lycée Professionnel Jean Morette;1 Rue Du College;54970;Landres
0080066D;Lycée Professionnel Jean Moulin;996 Av De La Cite Scolaire;08500;Revin
0130150T;Lycée Professionnel Jean Moulin;1 Boulevard Marcel Cachin;13110;Port De Bouc
0180026F;Lycée Professionnel Jean Moulin;45 Rue Jean Moulin;18206;St Amand Montrond
0340013E;Lycée Professionnel Jean Moulin;Avenue Martyrs De La Resistance;34521;Beziers
0590188J;Lycée Professionnel Jean Moulin;49 Bd Du General De Gaulle;59051;Roubaix
0623327E;Lycée Professionnel Jean Moulin;3 Rue Jean Moulin;62117;Brebieres
0782602E;Lycée Professionnel Jean Moulin;18 Rue Du Docteur Audigier;78150;Le Chesnay
0931739K;Lycée Professionnel Jean Moulin;9 Rue Jean Moulin;93110;Rosny Sous Bois
0940143V;Lycée Professionnel Jean Moulin;8 Rue Du Docteur Lebel;94307;Vincennes
7200093N;Lycée Professionnel Jean Nicoli;Cours Pierangeli;20296;Bastia
0782593V;Lycée Professionnel Jean Perrin;1 Rue Lucien Sampaix;78210;St Cyr L Ecole
0910715H;Lycée Professionnel Jean Perrin;26 Rue Leontine Sohier;91163;Longjumeau
9740910W;Lycée Professionnel Jean Perrin;Rue Du Lycée;97440;St Andre
0540081V;Lycée Professionnel Jean Prouve;53 Rue De Bonsecours;54052;Nancy
0721301Y;Lycée Professionnel Jean Rondeau;Route De Rahay;72120;St Calais
0160049S;Lycée Professionnel Jean Rostand;Rue Louise Leriget;16017;Angouleme
0580050P;Lycée Professionnel Jean Rostand;9 Boulevard Saint Exupery;58019;Nevers
0760082B;Lycée Professionnel Jean Rostand;Hameau De Neufmesnil;76550;Offranville
0572012C;Lycée Professionnel Jean Victor Poncelet;7 Rue Paul Valery;57070;Metz
0120014A;Lycée Professionnel Jean Vigo;Le Puits De Cales;12100;Millau
0590256H;Lycée Professionnel Jean-baptiste Carpeaux;Rue Pelabon;59154;Crespin
0300056Y;Lycée Professionnel Jean-baptiste Dumas;Place De La Belgique;30104;Ales
0622275L;Lycée Professionnel Jean-charles Cazin;42 Rue Cazin;62321;Boulogne Sur Mer
0790015M;Lycée Professionnel Jean-francois Cail;1 Rue Maurice Gadioux;79110;Chef Boutonne
0670127Z;Lycée Professionnel Jean-frederic Oberlin;4 Rue De L'academie;67000;Strasbourg
0820006L;Lycée Professionnel Jean-louis Etienne;4 Rue Lavoisier;82303;Caussade
0450043C;Lycée Professionnel Jeannette Verdier;35 Avenue Gaillardin;45207;Montargis
0640040W;Lycée Professionnel Jean-pierre Champo;7 Rue Des Evades De France;64130;Mauleon Licharre
0931024H;Lycée Professionnel Jean-pierre Timbaud;103 Avenue De La Republique;93300;Aubervilliers
0330119A;Lycée Professionnel Jehan Duperier;Chemin Tiran;33166;St Medard En Jalles
0310091F;Lycée Professionnel Jolimont;44 Chemin Cassaing;31079;Toulouse
0620150B;Lycée Professionnel Joliot Curie;9 Rue Leo Lagrange;62590;Oignies
0150022T;Lycée Professionnel Joseph Constant;3 Rue De La Coste;15300;Murat
0573283J;Lycée Professionnel Joseph Cressot;6 Rue Mozart;57310;Guenange
0371100V;Lycée Professionnel Joseph Cugnot;Les Hucherolles;37500;Chinon
0310050L;Lycée Professionnel Joseph Gallieni;39 Rue Adonis;31086;Toulouse
0220072J;Lycée Professionnel Joseph Savina;5 Place De La Republique;22220;Treguier
0680027K;Lycée Professionnel Joseph Vogt;5 Rue Paul Burgi;68290;Masevaux
0010017N;Lycée Professionnel Joseph-marie Carriat;1 Rue De Crouy;01011;Bourg En Bresse
0690281F;Lycée Professionnel Joseph-marie Jacquard;20 Rue Louis Auguste Blanqui;69921;Oullins
0250063H;Lycée Professionnel Jouffroy D'abbans;16 Rue De L'helvetie;25112;Baume Les Dames
0570237Y;Lycée Professionnel Jouffroy D'abbans;39 Chemin D'avril;57250;Moyeuvre Grande
0260042E;Lycée Professionnel Jules Algoud;Rue Barthelemy De Laffemas;26901;Valence
6200003J;Lycée Professionnel Jules Antonini;Av Noel Franchini;20186;Ajaccio
0340045P;Lycée Professionnel Jules Ferry;270 Avenue De La Colline;34077;Montpellier
0620142T;Lycée Professionnel Jules Ferry;61 Rue Bocquet Flochel;62022;Arras
0900019G;Lycée Professionnel Jules Ferry;18 Rue De Verdun;90101;Delle
0110008Z;Lycée Professionnel Jules Fil;Boulevard Joliot Curie;11021;Carcassonne
0760062E;Lycée Professionnel Jules Lecesne;99 Rue Jules Lecesne;76090;Le Havre
0290102D;Lycée Professionnel Jules Lesven;34 Rue Jules Lesven;29801;Brest
0760132F;Lycée Professionnel Jules Siegfried;1 Rue Dume D'aplemont;76054;Le Havre
0600063T;Lycée Professionnel Jules Uhry;10 Rue Aristide Briand;60107;Creil
0020013D;Lycée Professionnel Jules Verne;;02401;Chateau Thierry
0140020W;Lycée Professionnel Jules Verne;12 Rue Lucien Bossoutrot;14126;Mondeville
0220019B;Lycée Professionnel Jules Verne;Route De Corlay;22205;Guingamp
